field/0/__text;field/1/__text;field/2/_ref;_id
During kidney dialysis or other perfusion;Y60.2;icdcat20-31;Y602
During injection or immunization;Y60.3;icdcat20-31;Y603
During endoscopic examination;Y60.4;icdcat20-31;Y604
During heart catheterization;Y60.5;icdcat20-31;Y605
During aspiration, puncture and other catheterization;Y60.6;icdcat20-31;Y606
During administration of enema;Y60.7;icdcat20-31;Y607
During other surgical and medical care;Y60.8;icdcat20-31;Y608
During unspecified surgical and medical care;Y60.9;icdcat20-31;Y609
Foreign object accidentally left in body during surgical and medical care;Y61;icdcat20-31;Y61
During surgical operation;Y61.0;icdcat20-31;Y610
During infusion or transfusion;Y61.1;icdcat20-31;Y611
During kidney dialysis or other perfusion;Y61.2;icdcat20-31;Y612
During injection or immunization;Y61.3;icdcat20-31;Y613
During endoscopic examination;Y61.4;icdcat20-31;Y614
During heart catheterization;Y61.5;icdcat20-31;Y615
During aspiration, puncture and other catheterization;Y61.6;icdcat20-31;Y616
During removal of catheter or packing;Y61.7;icdcat20-31;Y617
During other surgical and medical care;Y61.8;icdcat20-31;Y618
During unspecified surgical and medical care;Y61.9;icdcat20-31;Y619
Failure of sterile precautions during surgical and medical care;Y62;icdcat20-31;Y62
During surgical operation;Y62.0;icdcat20-31;Y620
During infusion or transfusion;Y62.1;icdcat20-31;Y621
During kidney dialysis or other perfusion;Y62.2;icdcat20-31;Y622
During injection or immunization;Y62.3;icdcat20-31;Y623
During endoscopic examination;Y62.4;icdcat20-31;Y624
During heart catheterization;Y62.5;icdcat20-31;Y625
During aspiration, puncture and other catheterization;Y62.6;icdcat20-31;Y626
During other surgical and medical care;Y62.8;icdcat20-31;Y628
During unspecified surgical and medical care;Y62.9;icdcat20-31;Y629
Failure in dosage during surgical and medical care;Y63;icdcat20-31;Y63
Excessive amount of blood or other fluid given during transfusion or infusion;Y63.0;icdcat20-31;Y630
Incorrect dilution of fluid used during infusion;Y63.1;icdcat20-31;Y631
Overdose of radiation given during therapy;Y63.2;icdcat20-31;Y632
Inadvertent exposure of patient to radiation during medical care;Y63.3;icdcat20-31;Y633
Failure in dosage in electroshock or insulin-shock therapy;Y63.4;icdcat20-31;Y634
Inappropriate temperature in local application and packing;Y63.5;icdcat20-31;Y635
Nonadministration of necessary drug, medicament or biological substance;Y63.6;icdcat20-31;Y636
Failure in dosage during other surgical and medical care;Y63.8;icdcat20-31;Y638
Failure in dosage during unspecified surgical and medical care;Y63.9;icdcat20-31;Y639
Contaminated medical or biological substances;Y64;icdcat20-31;Y64
Contaminated medical or biological substance, transfused or infused;Y64.0;icdcat20-31;Y640
Contaminated medical or biological substance, injected or used for immunization;Y64.1;icdcat20-31;Y641
Contaminated medical or biological substance administered by other means;Y64.8;icdcat20-31;Y648
Contaminated medical or biological substance administered by unspecified means;Y64.9;icdcat20-31;Y649
Other misadventures during surgical and medical care;Y65;icdcat20-31;Y65
Mismatched blood used in transfusion;Y65.0;icdcat20-31;Y650
Wrong fluid used in infusion;Y65.1;icdcat20-31;Y651
Failure in suture or ligature during surgical operation;Y65.2;icdcat20-31;Y652
Endotracheal tube wrongly placed during anaesthetic procedure;Y65.3;icdcat20-31;Y653
Failure to introduce or to remove other tube or instrument;Y65.4;icdcat20-31;Y654
Performance of inappropriate operation;Y65.5;icdcat20-31;Y655
Other specified misadventures during surgical and medical care;Y65.8;icdcat20-31;Y658
Nonadministration of surgical and medical care;Y66;icdcat20-31;Y66
Unspecified misadventure during surgical and medical care;Y69;icdcat20-31;Y69
Anaesthesiology devices associated with adverse incidents;Y70;icdcat20-32;Y70
Diagnostic and monitoring devices;Y70.0;icdcat20-31;Y700
Therapeutic (nonsurgical) and rehabilitative devices;Y70.1;icdcat20-31;Y701
Prosthetic and other implants, materials and accessory devices;Y70.2;icdcat20-31;Y702
Surgical instruments, materials and devices (including sutures);Y70.3;icdcat20-31;Y703
Miscellaneous devices, not elsewhere classified;Y70.8;icdcat20-31;Y708
Cardiovascular devices associated with adverse incidents;Y71;icdcat20-31;Y71
Diagnostic and monitoring devices;Y71.0;icdcat20-31;Y710
Therapeutic (nonsurgical) and rehabilitative devices;Y71.1;icdcat20-31;Y711
Prosthetic and other implants, materials and accessory devices;Y71.2;icdcat20-31;Y712
Surgical instruments, materials and devices (including sutures);Y71.3;icdcat20-31;Y713
Miscellaneous devices, not elsewhere classified;Y71.8;icdcat20-31;Y718
Otorhinolaryngological devices associated with adverse incidents;Y72;icdcat20-31;Y72
Diagnostic and monitoring devices;Y72.0;icdcat20-31;Y720
Therapeutic (nonsurgical) and rehabilitative devices;Y72.1;icdcat20-31;Y721
Prosthetic and other implants, materials and accessory devices;Y72.2;icdcat20-31;Y722
Surgical instruments, materials and devices (including sutures);Y72.3;icdcat20-31;Y723
Miscellaneous devices, not elsewhere classified;Y72.8;icdcat20-31;Y728
Gastroenterology and urology devices associated with adverse incidents;Y73;icdcat20-31;Y73
Diagnostic and monitoring devices;Y73.0;icdcat20-31;Y730
Therapeutic (nonsurgical) and rehabilitative devices;Y73.1;icdcat20-31;Y731
Prosthetic and other implants, materials and accessory devices;Y73.2;icdcat20-31;Y732
Surgical instruments, materials and devices (including sutures);Y73.3;icdcat20-31;Y733
Miscellaneous devices, not elsewhere classified;Y73.8;icdcat20-31;Y738
General hospital and personal-use devices associated with adverse incidents;Y74;icdcat20-31;Y74
Diagnostic and monitoring devices;Y74.0;icdcat20-31;Y740
Therapeutic (nonsurgical) and rehabilitative devices;Y74.1;icdcat20-31;Y741
Prosthetic and other implants, materials and accessory devices;Y74.2;icdcat20-31;Y742
Surgical instruments, materials and devices (including sutures);Y74.3;icdcat20-31;Y743
Miscellaneous devices, not elsewhere classified;Y74.8;icdcat20-31;Y748
Neurological devices associated with adverse incidents;Y75;icdcat20-31;Y75
Diagnostic and monitoring devices;Y75.0;icdcat20-31;Y750
Therapeutic (nonsurgical) and rehabilitative devices;Y75.1;icdcat20-31;Y751
Prosthetic and other implants, materials and accessory devices;Y75.2;icdcat20-31;Y752
Surgical instruments, materials and devices (including sutures);Y75.3;icdcat20-31;Y753
Miscellaneous devices, not elsewhere classified;Y75.8;icdcat20-31;Y758
Obstetric and gynaecological devices associated with adverse incidents;Y76;icdcat20-31;Y76
Diagnostic and monitoring devices;Y76.0;icdcat20-31;Y760
Therapeutic (nonsurgical) and rehabilitative devices;Y76.1;icdcat20-31;Y761
Prosthetic and other implants, materials and accessory devices;Y76.2;icdcat20-31;Y762
Surgical instruments, materials and devices (including sutures);Y76.3;icdcat20-31;Y763
Miscellaneous devices, not elsewhere classified;Y76.8;icdcat20-31;Y768
Ophthalmic devices associated with adverse incidents;Y77;icdcat20-31;Y77
Diagnostic and monitoring devices;Y77.0;icdcat20-31;Y770
Therapeutic (nonsurgical) and rehabilitative devices;Y77.1;icdcat20-31;Y771
Prosthetic and other implants, materials and accessory devices;Y77.2;icdcat20-31;Y772
Surgical instruments, materials and devices (including sutures);Y77.3;icdcat20-31;Y773
Miscellaneous devices, not elsewhere classified;Y77.8;icdcat20-31;Y778
Radiological devices associated with adverse incidents;Y78;icdcat20-31;Y78
Diagnostic and monitoring devices;Y78.0;icdcat20-31;Y780
Therapeutic (nonsurgical) and rehabilitative devices;Y78.1;icdcat20-31;Y781
Prosthetic and other implants, materials and accessory devices;Y78.2;icdcat20-31;Y782
Surgical instruments, materials and devices (including sutures);Y78.3;icdcat20-31;Y783
Miscellaneous devices, not elsewhere classified;Y78.8;icdcat20-31;Y788
Orthopaedic devices associated with adverse incidents;Y79;icdcat20-31;Y79
Diagnostic and monitoring devices;Y79.0;icdcat20-31;Y790
Therapeutic (nonsurgical) and rehabilitative devices;Y79.1;icdcat20-31;Y791
Prosthetic and other implants, materials and accessory devices;Y79.2;icdcat20-31;Y792
Surgical instruments, materials and devices (including sutures);Y79.3;icdcat20-31;Y793
Miscellaneous devices, not elsewhere classified;Y79.8;icdcat20-31;Y798
Physical medicine devices associated with adverse incidents;Y80;icdcat20-31;Y80
Diagnostic and monitoring devices;Y80.0;icdcat20-31;Y800
Therapeutic (nonsurgical) and rehabilitative devices;Y80.1;icdcat20-31;Y801
Prosthetic and other implants, materials and accessory devices;Y80.2;icdcat20-31;Y802
Surgical instruments, materials and devices (including sutures);Y80.3;icdcat20-31;Y803
Miscellaneous devices, not elsewhere classified;Y80.8;icdcat20-31;Y808
General- and plastic-surgery devices associated with adverse incidents;Y81;icdcat20-31;Y81
Diagnostic and monitoring devices;Y81.0;icdcat20-31;Y810
Therapeutic (nonsurgical) and rehabilitative devices;Y81.1;icdcat20-31;Y811
Prosthetic and other implants, materials and accessory devices;Y81.2;icdcat20-31;Y812
Surgical instruments, materials and devices (including sutures);Y81.3;icdcat20-31;Y813
Miscellaneous devices, not elsewhere classified;Y81.8;icdcat20-31;Y818
Other and unspecified medical devices associated with adverse incidents;Y82;icdcat20-31;Y82
Diagnostic and monitoring devices;Y82.0;icdcat20-31;Y820
Therapeutic (nonsurgical) and rehabilitative devices;Y82.1;icdcat20-31;Y821
Prosthetic and other implants, materials and accessory devices;Y82.2;icdcat20-31;Y822
Surgical instruments, materials and devices (including sutures);Y82.3;icdcat20-31;Y823
Miscellaneous devices, not elsewhere classified;Y82.8;icdcat20-31;Y828
Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure;Y83;icdcat20-32;Y83
Surgical operation with transplant of whole organ;Y83.0;icdcat20-32;Y830
Surgical operation with implant of artificial internal device;Y83.1;icdcat20-32;Y831
Surgical operation with anastomosis, bypass or graft;Y83.2;icdcat20-32;Y832
Surgical operation with formation of external stoma;Y83.3;icdcat20-32;Y833
Other reconstructive surgery;Y83.4;icdcat20-32;Y834
Amputation of limb(s);Y83.5;icdcat20-32;Y835
Removal of other organ (partial) (total);Y83.6;icdcat20-32;Y836
Other surgical procedures;Y83.8;icdcat20-32;Y838
Surgical procedure, unspecified;Y83.9;icdcat20-32;Y839
Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure;Y84;icdcat20-32;Y84
Cardiac catheterization;Y84.0;icdcat20-32;Y840
Kidney dialysis;Y84.1;icdcat20-32;Y841
Radiological procedure and radiotherapy;Y84.2;icdcat20-32;Y842
Shock therapy;Y84.3;icdcat20-32;Y843
Aspiration of fluid;Y84.4;icdcat20-32;Y844
Insertion of gastric or duodenal sound;Y84.5;icdcat20-32;Y845
Urinary catheterization;Y84.6;icdcat20-32;Y846
Blood-sampling;Y84.7;icdcat20-32;Y847
Other medical procedures;Y84.8;icdcat20-32;Y848
Medical procedure, unspecified;Y84.9;icdcat20-32;Y849
Sequelae of transport accidents;Y85;icdcat20-33;Y85
Sequelae of motor-vehicle accident;Y85.0;icdcat20-33;Y850
Sequelae of other and unspecified transport accidents;Y85.9;icdcat20-33;Y859
Sequelae of other accidents;Y86;icdcat20-33;Y86
Sequelae of intentional self-harm, assault and events of undetermined intent;Y87;icdcat20-33;Y87
Sequelae of intentional self-harm;Y87.0;icdcat20-33;Y870
Sequelae of assault;Y87.1;icdcat20-33;Y871
Sequelae of events of undetermined intent;Y87.2;icdcat20-33;Y872
Sequelae with surgical and medical care as external cause;Y88;icdcat20-33;Y88
Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use;Y88.0;icdcat20-33;Y880
Sequelae of misadventures to patients during surgical and medical procedures;Y88.1;icdcat20-33;Y881
Sequelae of adverse incidents associated with medical devices in diagnostic and therapeutic use;Y88.2;icdcat20-33;Y882
Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure;Y88.3;icdcat20-33;Y883
Sequelae of other external causes;Y89;icdcat20-33;Y89
Sequelae of legal intervention;Y89.0;icdcat20-33;Y890
Sequelae of war operations;Y89.1;icdcat20-33;Y891
Sequelae of unspecified external cause;Y89.9;icdcat20-33;Y899
Evidence of alcohol involvement determined by blood alcohol level;Y90;icdcat20-34;Y90
Blood alcohol level of less than 20 mg/100 ml;Y90.0;icdcat20-34;Y900
Blood alcohol level of 20-39 mg/100 ml;Y90.1;icdcat20-34;Y901
Blood alcohol level of 40-59 mg/100 ml;Y90.2;icdcat20-34;Y902
Blood alcohol level of 60-79 mg/100 ml;Y90.3;icdcat20-34;Y903
Blood alcohol level of 80-99 mg/100 ml;Y90.4;icdcat20-34;Y904
Blood alcohol level of 100-119 mg/100 ml;Y90.5;icdcat20-34;Y905
Blood alcohol level of 120-199 mg/100 ml;Y90.6;icdcat20-34;Y906
Blood alcohol level of 200-239 mg/100 ml;Y90.7;icdcat20-34;Y907
Blood alcohol level of 240 mg/100 ml or more;Y90.8;icdcat20-34;Y908
Presence of alcohol in blood, level not specified;Y90.9;icdcat20-34;Y909
Evidence of alcohol involvement determined by level of intoxication;Y91;icdcat20-34;Y91
Mild alcohol intoxication;Y91.0;icdcat20-34;Y910
Moderate alcohol intoxication;Y91.1;icdcat20-34;Y911
Severe alcohol intoxication;Y91.2;icdcat20-34;Y912
Very severe alcohol intoxication;Y91.3;icdcat20-34;Y913
Alcohol involvement, not otherwise specified;Y91.9;icdcat20-34;Y919
Nosocomial condition;Y95;icdcat20-34;Y95
Work-related condition;Y96;icdcat20-34;Y96
Environmental-pollution-related condition;Y97;icdcat20-34;Y97
Lifestyle-related condition;Y98;icdcat20-34;Y98
General examination and investigation of persons without complaint and reported diagnosis;Z00;icdcat21-1;Z00
General medical examination;Z00.0;icdcat21-1;Z000
Routine child health examination;Z00.1;icdcat21-1;Z001
Examination for period of rapid growth in childhood;Z00.2;icdcat21-1;Z002
Examination for adolescent development state;Z00.3;icdcat21-1;Z003
General psychiatric examination, not elsewhere classified;Z00.4;icdcat21-1;Z004
Examination of potential donor of organ and tissue;Z00.5;icdcat21-1;Z005
Examination for normal comparison and control in clinical research programme;Z00.6;icdcat21-1;Z006
Other general examinations;Z00.8;icdcat21-1;Z008
Other special examinations and investigations of persons without complaint or reported diagnosis;Z01;icdcat21-1;Z01
Examination of eyes and vision;Z01.0;icdcat21-1;Z010
Examination of ears and hearing;Z01.1;icdcat21-1;Z011
Dental examination;Z01.2;icdcat21-1;Z012
Examination of blood pressure;Z01.3;icdcat21-1;Z013
Gynaecological examination (general)(routine);Z01.4;icdcat21-1;Z014
Diagnostic skin and sensitization tests;Z01.5;icdcat21-1;Z015
Radiological examination, not elsewhere classified;Z01.6;icdcat21-1;Z016
Laboratory examination;Z01.7;icdcat21-1;Z017
Other specified special examinations;Z01.8;icdcat21-1;Z018
Special examination, unspecified;Z01.9;icdcat21-1;Z019
Examination and encounter for administrative purposes;Z02;icdcat21-1;Z02
Examination for admission to educational institution;Z02.0;icdcat21-1;Z020
Pre-employment examination;Z02.1;icdcat21-1;Z021
Examination for admission to residential institutions;Z02.2;icdcat21-1;Z022
Examination for recruitment to armed forces;Z02.3;icdcat21-1;Z023
Examination for driving licence;Z02.4;icdcat21-1;Z024
Examination for participation in sport;Z02.5;icdcat21-1;Z025
Examination for insurance purposes;Z02.6;icdcat21-1;Z026
Issue of medical certificate;Z02.7;icdcat21-1;Z027
Other examinations for administrative purposes;Z02.8;icdcat21-1;Z028
Examination for administrative purposes, unspecified;Z02.9;icdcat21-1;Z029
Medical observation and evaluation for suspected diseases and conditions;Z03;icdcat21-1;Z03
Observation for suspected tuberculosis;Z03.0;icdcat21-1;Z030
Observation for suspected malignant neoplasm;Z03.1;icdcat21-1;Z031
Observation for suspected mental and behavioural disorders;Z03.2;icdcat21-1;Z032
Observation for suspected nervous system disorder;Z03.3;icdcat21-1;Z033
Observation for suspected myocardial infarction;Z03.4;icdcat21-1;Z034
Observation for other suspected cardiovascular diseases;Z03.5;icdcat21-1;Z035
Observation for suspected toxic effect from ingested substance;Z03.6;icdcat21-1;Z036
Observation for other suspected diseases and conditions;Z03.8;icdcat21-1;Z038
Observation for suspected disease or condition, unspecified;Z03.9;icdcat21-1;Z039
Examination and observation for other reasons;Z04;icdcat21-1;Z04
Blood-alcohol and blood-drug test;Z04.0;icdcat21-1;Z040
Examination and observation following transport accident;Z04.1;icdcat21-1;Z041
Examination and observation following work accident;Z04.2;icdcat21-1;Z042
Examination and observation following other accident;Z04.3;icdcat21-1;Z043
Examination and observation following alleged rape and seduction;Z04.4;icdcat21-1;Z044
Examination and observation following other inflicted injury;Z04.5;icdcat21-1;Z045
General psychiatric examination, requested by authority;Z04.6;icdcat21-1;Z046
Examination and observation for other specified reasons;Z04.8;icdcat21-1;Z048
Examination and observation for unspecified reason;Z04.9;icdcat21-1;Z049
Follow-up examination after treatment for malignant neoplasms;Z08;icdcat21-1;Z08
Follow-up examination after surgery for malignant neoplasm;Z08.0;icdcat21-1;Z080
Follow-up examination after radiotherapy for malignant neoplasm;Z08.1;icdcat21-1;Z081
Follow-up examination after chemotherapy for malignant neoplasm;Z08.2;icdcat21-1;Z082
Follow-up examination after combined treatment for malignant neoplasm;Z08.7;icdcat21-1;Z087
Follow-up examination after other treatment for malignant neoplasm;Z08.8;icdcat21-1;Z088
Follow-up examination after unspecified treatment for malignant neoplasm;Z08.9;icdcat21-1;Z089
Follow-up examination after treatment for conditions other than malignant neoplasms;Z09;icdcat21-1;Z09
Follow-up examination after surgery for other conditions;Z09.0;icdcat21-1;Z090
Follow-up examination after radiotherapy for other conditions;Z09.1;icdcat21-1;Z091
Follow-up examination after chemotherapy for other conditions;Z09.2;icdcat21-1;Z092
Follow-up examination after psychotherapy;Z09.3;icdcat21-1;Z093
Follow-up examination after treatment of fracture;Z09.4;icdcat21-1;Z094
Follow-up examination after combined treatment for other conditions;Z09.7;icdcat21-1;Z097
Follow-up examination after other treatment for other conditions;Z09.8;icdcat21-1;Z098
Follow-up examination after unspecified treatment for other conditions;Z09.9;icdcat21-1;Z099
Routine general health check-up of defined subpopulation;Z10;icdcat21-1;Z10
Occupational health examination;Z10.0;icdcat21-1;Z100
Routine general health check-up of inhabitants of institutions;Z10.1;icdcat21-1;Z101
Routine general health check-up of armed forces;Z10.2;icdcat21-1;Z102
Routine general health check-up of sports teams;Z10.3;icdcat21-1;Z103
Routine general health check-up of other defined subpopulations;Z10.8;icdcat21-1;Z108
Special screening examination for infectious and parasitic diseases;Z11;icdcat21-1;Z11
Special screening examination for intestinal infectious diseases;Z11.0;icdcat21-1;Z110
Special screening examination for respiratory tuberculosis;Z11.1;icdcat21-1;Z111
Special screening examination for other bacterial diseases;Z11.2;icdcat21-1;Z112
Special screening examination for infections with a predominantly sexual mode of transmission;Z11.3;icdcat21-1;Z113
Special screening examination for human immunodeficiency virus [HIV];Z11.4;icdcat21-1;Z114
Special screening examination for other viral diseases;Z11.5;icdcat21-1;Z115
Special screening examination for other protozoal diseases and helminthiases;Z11.6;icdcat21-1;Z116
Special screening examination for other infectious and parasitic diseases;Z11.8;icdcat21-1;Z118
Special screening examination for infectious and parasitic diseases, unspecified;Z11.9;icdcat21-1;Z119
Special screening examination for neoplasms;Z12;icdcat21-1;Z12
Special screening examination for neoplasm of stomach;Z12.0;icdcat21-1;Z120
Special screening examination for neoplasm of intestinal tract;Z12.1;icdcat21-1;Z121
Special screening examination for neoplasm of respiratory organs;Z12.2;icdcat21-1;Z122
Special screening examination for neoplasm of breast;Z12.3;icdcat21-1;Z123
Special screening examination for neoplasm of cervix;Z12.4;icdcat21-1;Z124
Special screening examination for neoplasm of prostate;Z12.5;icdcat21-1;Z125
Special screening examination for neoplasm of bladder;Z12.6;icdcat21-1;Z126
Special screening examination for neoplasms of other sites;Z12.8;icdcat21-1;Z128
Special screening examination for neoplasm, unspecified;Z12.9;icdcat21-1;Z129
Special screening examination for other diseases and disorders;Z13;icdcat21-1;Z13
Special screening examination for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism;Z13.0;icdcat21-1;Z130
Special screening examination for diabetes mellitus;Z13.1;icdcat21-1;Z131
Special screening examination for nutritional disorders;Z13.2;icdcat21-1;Z132
Special screening examination for mental and behavioural disorders;Z13.3;icdcat21-1;Z133
Special screening examination for certain developmental disorders in childhood;Z13.4;icdcat21-1;Z134
Special screening examination for eye and ear disorders;Z13.5;icdcat21-1;Z135
Special screening examination for cardiovascular disorders;Z13.6;icdcat21-1;Z136
Special screening examination for congenital malformations, deformations and chromosomal abnormalities;Z13.7;icdcat21-1;Z137
Special screening examination for other specified diseases and disorders;Z13.8;icdcat21-1;Z138
Special screening examination, unspecified;Z13.9;icdcat21-1;Z139
Contact with and exposure to communicable diseases;Z20;icdcat21-2;Z20
Contact with and exposure to intestinal infectious diseases;Z20.0;icdcat21-2;Z200
Contact with and exposure to tuberculosis;Z20.1;icdcat21-2;Z201
Contact with and exposure to infections with a predominantly sexual mode of transmission;Z20.2;icdcat21-2;Z202
Contact with and exposure to rabies;Z20.3;icdcat21-2;Z203
Contact with and exposure to rubella;Z20.4;icdcat21-2;Z204
Contact with and exposure to viral hepatitis;Z20.5;icdcat21-2;Z205
Contact with and exposure to human immunodeficiency virus [HIV];Z20.6;icdcat21-2;Z206
Contact with and exposure to pediculosis, acariasis and other infestations;Z20.7;icdcat21-2;Z207
Contact with and exposure to other communicable diseases;Z20.8;icdcat21-2;Z208
Contact with and exposure to unspecified communicable disease;Z20.9;icdcat21-2;Z209
Asymptomatic human immunodeficiency virus [HIV] infection status;Z21;icdcat21-2;Z21
Carrier of infectious disease;Z22;icdcat21-2;Z22
Carrier of typhoid;Z22.0;icdcat21-2;Z220
Carrier of other intestinal infectious diseases;Z22.1;icdcat21-2;Z221
Carrier of diphtheria;Z22.2;icdcat21-2;Z222
Carrier of other specified bacterial diseases;Z22.3;icdcat21-2;Z223
Carrier of infections with a predominantly sexual mode of transmission;Z22.4;icdcat21-2;Z224
Carrier of viral hepatitis;Z22.5;icdcat21-2;Z225
Carrier of human T-lymphotropic virus type- 1 [HTLV-1] infection;Z22.6;icdcat21-2;Z226
Carrier of other infectious diseases;Z22.8;icdcat21-2;Z228
Carrier of infectious disease, unspecified;Z22.9;icdcat21-2;Z229
Need for immunization against single bacterial diseases;Z23;icdcat21-2;Z23
Need for immunization against cholera alone;Z23.0;icdcat21-2;Z230
Need for immunization against typhoid-paratyphoid alone [TAB];Z23.1;icdcat21-2;Z231
Need for immunization against tuberculosis [BCG];Z23.2;icdcat21-2;Z232
Need for immunization against plague;Z23.3;icdcat21-2;Z233
Need for immunization against tularaemia;Z23.4;icdcat21-2;Z234
Need for immunization against tetanus alone;Z23.5;icdcat21-2;Z235
Need for immunization against diphtheria alone;Z23.6;icdcat21-2;Z236
Need for immunization against pertussis alone;Z23.7;icdcat21-2;Z237
Need for immunization against other single bacterial diseases;Z23.8;icdcat21-2;Z238
Need for immunization against certain single viral diseases;Z24;icdcat21-2;Z24
Need for immunization against poliomyelitis;Z24.0;icdcat21-2;Z240
Need for immunization against arthropod-borne viral encephalitis;Z24.1;icdcat21-2;Z241
Need for immunization against rabies;Z24.2;icdcat21-2;Z242
Need for immunization against yellow fever;Z24.3;icdcat21-2;Z243
Need for immunization against measles alone;Z24.4;icdcat21-2;Z244
Need for immunization against rubella alone;Z24.5;icdcat21-2;Z245
Need for immunization against viral hepatitis;Z24.6;icdcat21-2;Z246
Need for immunization against other single viral diseases;Z25;icdcat21-2;Z25
Need for immunization against mumps alone;Z25.0;icdcat21-2;Z250
Need for immunization against influenza;Z25.1;icdcat21-2;Z251
Need for immunization against other specified single viral diseases;Z25.8;icdcat21-2;Z258
Need for immunization against other single infectious diseases;Z26;icdcat21-2;Z26
Need for immunization against leishmaniasis;Z26.0;icdcat21-2;Z260
Need for immunization against other specified single infectious diseases;Z26.8;icdcat21-2;Z268
Need for immunization against unspecified infectious disease;Z26.9;icdcat21-2;Z269
Need for immunization against combinations of infectious diseases;Z27;icdcat21-2;Z27
Need for immunization against cholera with typhoid-paratyphoid [cholera + TAB];Z27.0;icdcat21-2;Z270
Need for immunization against diphtheria-tetanus-pertussis, combined [DTP];Z27.1;icdcat21-2;Z271
Need for immunization against diphtheria-tetanus-pertussis with typhoid-paratyphoid [DTP + TAB];Z27.2;icdcat21-2;Z272
Need for immunization against diphtheria-tetanus-pertussis with poliomyelitis [DTP + polio];Z27.3;icdcat21-2;Z273
Need for immunization against measles-mumps-rubella [MMR];Z27.4;icdcat21-2;Z274
Need for immunization against other combinations of infectious diseases;Z27.8;icdcat21-2;Z278
Need for immunization against unspecified combinations of infectious diseases;Z27.9;icdcat21-2;Z279
Immunization not carried out;Z28;icdcat21-2;Z28
Immunization not carried out because of contraindication;Z28.0;icdcat21-2;Z280
Immunization not carried out because of patient's decision for reasons of belief or group pressure;Z28.1;icdcat21-2;Z281
Immunization not carried out because of patient's decision for other and unspecified reasons;Z28.2;icdcat21-2;Z282
Immunization not carried out for other reasons;Z28.8;icdcat21-2;Z288
Immunization not carried out for unspecified reason;Z28.9;icdcat21-2;Z289
Need for other prophylactic measures;Z29;icdcat21-2;Z29
Isolation;Z29.0;icdcat21-2;Z290
Prophylactic immunotherapy;Z29.1;icdcat21-2;Z291
Other prophylactic chemotherapy;Z29.2;icdcat21-2;Z292
Other specified prophylactic measures;Z29.8;icdcat21-2;Z298
Prophylactic measure, unspecified;Z29.9;icdcat21-2;Z299
Contraceptive management;Z30;icdcat21-3;Z30
General counselling and advice on contraception;Z30.0;icdcat21-3;Z300
Insertion of (intrauterine) contraceptive device;Z30.1;icdcat21-3;Z301
Sterilization;Z30.2;icdcat21-3;Z302
Menstrual extraction;Z30.3;icdcat21-3;Z303
Surveillance of contraceptive drugs;Z30.4;icdcat21-3;Z304
Surveillance of (intrauterine) contraceptive device;Z30.5;icdcat21-3;Z305
Other contraceptive management;Z30.8;icdcat21-3;Z308
Contraceptive management, unspecified;Z30.9;icdcat21-3;Z309
Procreative management;Z31;icdcat21-3;Z31
Tuboplasty or vasoplasty after previous sterilization;Z31.0;icdcat21-3;Z310
Artificial insemination;Z31.1;icdcat21-3;Z311
In vitro fertilization;Z31.2;icdcat21-3;Z312
Other assisted fertilization methods;Z31.3;icdcat21-3;Z313
Procreative investigation and testing;Z31.4;icdcat21-3;Z314
Genetic counselling;Z31.5;icdcat21-3;Z315
General counselling and advice on procreation;Z31.6;icdcat21-3;Z316
Other procreative management;Z31.8;icdcat21-3;Z318
Procreative management, unspecified;Z31.9;icdcat21-3;Z319
Pregnancy examination and test;Z32;icdcat21-3;Z32
Pregnancy, not (yet) confirmed;Z32.0;icdcat21-3;Z320
Pregnancy confirmed;Z32.9;icdcat21-3;Z329
Pregnant state, incidental;Z33;icdcat21-3;Z33
Supervision of normal pregnancy;Z34;icdcat21-3;Z34
Supervision of normal first pregnancy;Z34.0;icdcat21-3;Z340
Supervision of other normal pregnancy;Z34.8;icdcat21-3;Z348
Supervision of normal pregnancy, unspecified;Z34.9;icdcat21-3;Z349
Supervision of high-risk pregnancy;Z35;icdcat21-3;Z35
Supervision of pregnancy with history of infertility;Z35.0;icdcat21-3;Z350
Supervision of pregnancy with history of abortive outcome;Z35.1;icdcat21-3;Z351
Supervision of pregnancy with other poor reproductive or obstetric history;Z35.2;icdcat21-3;Z352
Supervision of pregnancy with history of insufficient antenatal care;Z35.3;icdcat21-3;Z353
Supervision of pregnancy with grand multiparity;Z35.4;icdcat21-3;Z354
Supervision of elderly primigravida;Z35.5;icdcat21-3;Z355
Supervision of very young primigravida;Z35.6;icdcat21-3;Z356
Supervision of high-risk pregnancy due to social problems;Z35.7;icdcat21-3;Z357
Supervision of other high-risk pregnancies;Z35.8;icdcat21-3;Z358
Supervision of high-risk pregnancy, unspecified;Z35.9;icdcat21-3;Z359
Antenatal screening;Z36;icdcat21-3;Z36
Antenatal screening for chromosomal anomalies;Z36.0;icdcat21-3;Z360
Antenatal screening for raised alphafetoprotein level;Z36.1;icdcat21-3;Z361
Other antenatal screening based on amniocentesis;Z36.2;icdcat21-3;Z362
